City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
575,Hualmay,PE,75.78,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
577,Paoua,CF,88.59,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
578,Pandan,PH,80.13,overcast clouds,14.0453,124.1694,Bonifacio Lodge
579,Sharjah,AE,77.0,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
580,Warren,US,72.0,clear sky,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
581,Owo,NG,85.05,broken clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
587,Balabac,PH,81.68,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
589,Buchanan,LR,82.4,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
594,Morondava,MG,79.25,clear sky,-20.2833,44.2833,La Case Bambou
596,Mackay,AU,73.4,overcast clouds,-21.15,149.2,International Lodge Motel
597,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
602,Tecoanapa,MX,86.4,clear sky,16.5167,-98.75,Hotel Manglares
608,Dom Pedrito,BR,82.8,scattered clouds,-30.9828,-54.6731,Hotel Alexandre
617,Boulder,US,77.0,clear sky,40.0833,-105.3505,Lefthand OHV Trailhead (recgovnpsdata)
619,Isangel,VU,75.88,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
623,Kpandu,GH,84.13,scattered clouds,6.9954,0.2931,Emo House
624,Spring Hill,US,75.0,scattered clouds,28.4769,-82.5255,Room of The world By traveline Plus
626,Inhambane,MZ,73.4,clear sky,-23.865,35.3833,Oceano
631,Progreso,MX,86.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
637,Pedernales,DO,81.41,few clouds,18.0384,-71.744,Hotel Costa Marina
638,Virginia Beach,US,73.4,few clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
643,San Vicente,AR,77.94,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
644,Vallenar,CL,82.27,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
645,Coruripe,BR,82.62,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
647,Teofilo Otoni,BR,76.41,overcast clouds,-17.8575,-41.5053,Hotel Nobre Palace
650,Pedra,BR,77.92,light rain,-8.4969,-36.9408,Pousada Oceanus
652,Dalbandin,PK,79.84,overcast clouds,28.8947,64.4101,Sanjrani House
655,Jos,NG,76.28,clear sky,9.9167,8.9,Silk Suites
661,Doctor Arroyo,MX,73.44,scattered clouds,23.6667,-100.1833,Hotel Plaza
666,Camana,PE,74.12,overcast clouds,-16.6228,-72.7111,Hostal Morales
667,Ambilobe,MG,74.84,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
668,Saint Pete Beach,US,75.2,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
672,Alugan,PH,81.12,overcast clouds,12.2188,125.4808,JM Lodge
673,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
674,Chiredzi,ZW,74.03,overcast clouds,-21.05,31.6667,The Nesbitt Arms
682,Harper,LR,80.47,broken clouds,4.375,-7.7169,Screensaver
684,Ascension,US,73.99,clear sky,30.2169,-90.9001,Highland Inn
685,Galle,LK,79.3,overcast clouds,6.0367,80.217,Amangalla
688,Port Blair,IN,79.21,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
691,Jasper,US,73.4,clear sky,37.2001,-94.3502,Guest House Motel
692,Pizarro,CO,83.26,overcast clouds,4.9533,-77.366,Hotel Limonar
694,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
